iter	MAE
0	0.8633512092
1	0.8392832519
2	0.8160108593
3	0.7935075218
4	0.7709302109
5	0.7498353999
6	0.7294465601
7	0.7088663056
8	0.6889340363
9	0.6696250146
10	0.6516803849
11	0.6336009187
12	0.6160946279
13	0.5990758897
14	0.5826009906
15	0.5666476109
16	0.5512103549
17	0.5361945156
18	0.5216965546
19	0.5083680973
20	0.4947254573
21	0.4815211579
22	0.4687481228
23	0.4570075912
24	0.4449139677
25	0.4333601654
26	0.4225909083
27	0.4116793409
28	0.4017640346
29	0.3915847116
30	0.3816694353
31	0.3722247475
32	0.3630057194
33	0.353941557
34	0.3452799529
35	0.3370129921
36	0.328946943
37	0.3210832588
38	0.3135490915
39	0.3062171062
40	0.2995288501
41	0.2927798506
42	0.2861417483
43	0.2797113096
44	0.2736027884
45	0.2679478034
46	0.2619898712
47	0.2563395323
48	0.2509730297
49	0.2456308026
50	0.2404882703
51	0.235431282
52	0.230506428
53	0.2258653865
54	0.2214516459
55	0.2170742628
56	0.2128231489
57	0.2087351526
58	0.2048065264
59	0.2011374393
60	0.1974952422
61	0.1939985148
62	0.1906191491
63	0.1872441741
64	0.1840925975
65	0.1811133389
66	0.1781562394
67	0.1752737537
68	0.1722904303
69	0.1694313083
70	0.1667927776
71	0.1642657739
72	0.1618433645
73	0.1594645097
74	0.1572546197
75	0.1550293205
76	0.1528625929
77	0.1507632812
78	0.1489438592
79	0.1468397365
80	0.1449268704
81	0.1428511959
82	0.1412102614
83	0.1394338898
84	0.1375662307
85	0.1358347484
86	0.1342078722
87	0.1327852482
88	0.1312224233
89	0.1297779169
90	0.1282965583
91	0.1268191881
92	0.1255991587
93	0.1243188181
94	0.1230277324
95	0.1218108665
96	0.1206406972
97	0.1195520973
98	0.1184289666
99	0.1174236459
100	0.1162786071
101	0.1153021313
102	0.1142923991
103	0.1132812047
104	0.1123330069
105	0.1113769689
106	0.1104484848
107	0.1095118398
108	0.108678112
109	0.1078543541
110	0.1070860344
111	0.1061894498
112	0.1053395515
113	0.1045107413
114	0.1038066516
115	0.1031268196
116	0.1024708673
117	0.101868189
118	0.1011985104
119	0.1005185696
120	0.09993520191
121	0.09924651675
122	0.09864683889
123	0.09807931948
